Authority,Ward,Lab PC change
Barking & Dagenham,Abbey,27.7
Barking & Dagenham,Alibon,22.7
Barking & Dagenham,Becontree,15.9
Barking & Dagenham,Chadwell Heath,22.1
Barking & Dagenham,Eastbrook,6.1
Barking & Dagenham,Eastbury,24.7
Barking & Dagenham,Gascoigne,17.6
Barking & Dagenham,Goresbrook,26.3
Barking & Dagenham,Heath,22.6
Barking & Dagenham,Longbridge,32.3
Barking & Dagenham,Mayesbrook,32.9
Barking & Dagenham,Parsloes,19.1
Barking & Dagenham,River,19.7
Barking & Dagenham,Thames,24.6
Barking & Dagenham,Valence,33.7
Barking & Dagenham,Village,18.3
Barking & Dagenham,Whalebone,24
Barnet,Brunswick Park,-0.8
Barnet,Burnt Oak,3
Barnet,Childs Hill,6.9
Barnet,Colindale,3.1
Barnet,Coppetts,13.1
Barnet,East Barnet,-0.2
Barnet,East Finchley,2.9
Barnet,Edgware,-0.8
Barnet,Finchley Church End,-2.3
Barnet,Garden Suburb,-6.7
Barnet,Golders Green,0.3
Barnet,Hale,-2.5
Barnet,Hendon,-2.4
Barnet,High Barnet,14.7
Barnet,Mill Hill,3.1
Barnet,Oakleigh,8.3
Barnet,Totteridge,2.5
Barnet,Underhill,10.7
Barnet,West Finchley,-1.7
Barnet,West Hendon,0.3
Barnet,Woodhouse,7.2
Bexley,Barnehurst,33.4
Bexley,Belvedere,62.3
Bexley,Bexleyheath,26.3
Bexley,Blackfen & Lamorbey,20.3
Bexley,Blendon & Penhill,23
Bexley,Crayford,34.8
Bexley,Crook Log,30.6
Bexley,East Wickham,37.6
Bexley,Erith,61.9
Bexley,Falconwood & Welling,27.3
Bexley,Longlands,25
Bexley,Northumberland Heath,42.6
Bexley,Sidcup,20.4
Bexley,Slade Green & Northend,50.6
Bexley,St Mary`s & St James,23.3
Bexley,Thamesmead East,67.5
Bexley,West Heath,30.9
Brent,Alperton,8.6
Brent,Barnhill,11.2
Brent,Brondesbury Park,19.2
Brent,Dollis Hill,11.9
Brent,Dudden Hill,12
Brent,Fryent,10.8
Brent,Harlesden,18.1
Brent,Kensal Green,8.1
Brent,Kenton,4.4
Brent,Kilburn,17.1
Brent,Mapesbury,19.1
Brent,Northwick Park,10.7
Brent,Preston,13.5
Brent,Queens Park,-3.7
Brent,Queensbury,3.8
Brent,Stonebridge,16.1
Brent,Sudbury,3.4
Brent,Tokyngton,3.1
Brent,Welsh Harp,13.2
Brent,Wembley Central,18
Brent,Willesden Green,
Bromley,Bickley,4.7
Bromley,Biggin Hill,-2.4
Bromley,Bromley Common & Keston,6
Bromley,Bromley Town,0.7
Bromley,Chelsfield & Pratts Bottom,4.7
Bromley,Chislehurst,3.4
Bromley,Clock House,12.7
Bromley,Copers Cope,2.7
Bromley,Cray Valley East,16.7
Bromley,Cray Valley West,2.9
Bromley,Crystal Palace,17
Bromley,Darwin,4.2
Bromley,Farnborough & Crofton,1.9
Bromley,Hayes & Coney Hall,3.1
Bromley,Kelsey & Eden Park,8.6
Bromley,Mottingham & Chislehurst North,17.4
Bromley,Orpington,6.3
Bromley,Penge & Cator,10.8
Bromley,Petts Wood & Knoll,1.6
Bromley,Plaistow & Sundridge,8.8
Bromley,Shortlands,1.8
Bromley,West Wickham,2
Camden,Belsize,1.8
Camden,Bloomsbury,9.5
Camden,Camden Town with Primrose Hill,4.5
Camden,Cantelowes,1
Camden,Fortune Green,9.4
Camden,Frognal & Fitzjohns,3.3
Camden,Gospel Oak,1.7
Camden,Hampstead Town,4.1
Camden,Haverstock,12.5
Camden,Highgate,-3.4
Camden,Holborn & Covent Garden,2.2
Camden,Kentish Town,13.2
Camden,Kilburn,12
Camden,King's Cross,1.3
Camden,Regent's Park,13.5
Camden,St Pancras & Somers Town,4.4
Camden,Swiss Cottage,10.2
Camden,West Hampstead,6
Croydon,Addiscombe East,46
Croydon,Addiscombe West,51.6
Croydon,Bensham Manor,12.5
Croydon,Broad Green,15.3
Croydon,Coulsdon Town,24.9
Croydon,Crystal Palace & Upper Norwood,48.3
Croydon,Fairfield,20.9
Croydon,Kenley,4.3
Croydon,New Addington North,64.6
Croydon,New Addington South,50.5
Croydon,Norbury & Pollards Hill,67.7
Croydon,Norbury Park,54.5
Croydon,Old Coulsdon,13.2
Croydon,Park Hill & Whitgift,31.1
Croydon,Purley & Woodcote,18.7
Croydon,Purley Oaks & Riddlesdown,24.5
Croydon,Sanderstead,4.1
Croydon,Selhurst,18.7
Croydon,Selsdon & Addington Village,24.9
Croydon,Selsdon Vale & Forestdale,20.2
