Local Authority,Ward,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,PC change
Barking & Dagenham,Abbey,175155,177891,176408,260566,265572,259487,47.09
Barking & Dagenham,Alibon,170990,174547,176047,282210,284011,283397,60.98
Barking & Dagenham,Becontree,177814,185732,182547,293541,290885,291677,59.78
Barking & Dagenham,Chadwell Heath,202791,201466,200686,297348,314736,302849,50.91
Barking & Dagenham,Eastbrook,199475,200651,200652,321021,323361,326229,62.58
Barking & Dagenham,Eastbury,181880,181678,187099,328238,329125,317989,69.96
Barking & Dagenham,Gascoigne,156115,155889,164084,266223,262438,265928,62.07
Barking & Dagenham,Goresbrook,161648,164728,169732,288165,284790,286575,68.84
Barking & Dagenham,Heath,158856,163429,166662,282146,286691,292882,75.73
Barking & Dagenham,Longbridge,262274,258490,264399,421358,416854,410497,55.26
Barking & Dagenham,Mayesbrook,172500,174797,178890,301123,298948,299792,67.58
Barking & Dagenham,Parsloes,164981,171112,175905,282681,289508,290859,65.35
Barking & Dagenham,River,165137,164657,169440,282034,284874,281558,66.17
Barking & Dagenham,Thames,196796,196036,191082,278328,281183,286863,50.13
Barking & Dagenham,Valence,169983,174526,182427,298454,299438,302108,65.6
Barking & Dagenham,Village,163136,169388,174358,283968,284914,277316,59.05
Barking & Dagenham,Whalebone,190556,191564,199884,327607,330294,333734,66.96
Barnet,Brunswick Park,368672,372538,378087,554913,556246,562710,48.83
Barnet,Burnt Oak,238722,242311,243247,351875,362223,368283,51.4
Barnet,Childs Hill,990864,926849,841902,858088,864404,895496,6.37
Barnet,Colindale,271028,276759,280546,414247,419385,433174,54.4
Barnet,Coppetts,357576,373364,367779,521486,514720,494184,34.37
Barnet,East Barnet,330898,347206,351034,485840,505285,516331,47.09
Barnet,East Finchley,434311,426049,447983,611260,623183,646298,44.27
Barnet,Edgware,394906,407546,422445,571954,584680,592289,40.2
Barnet,Finchley Church End,559506,592345,625313,706222,693586,740026,18.34
Barnet,Garden Suburb,1224315,1252300,1161008,1452737,1563845,1585563,36.57
Barnet,Golders Green,530884,517032,550876,682647,716022,787262,42.91
Barnet,Hale,375720,361820,381422,596389,606412,628645,64.82
Barnet,Hendon,453370,451461,448167,666375,606654,619066,38.13
Barnet,High Barnet,465369,461482,467153,605124,608116,622836,33.33
Barnet,Mill Hill,482974,508719,546225,667529,743582,783186,43.38
Barnet,Oakleigh,433504,412950,430540,714845,738800,747874,73.71
Barnet,Totteridge,646633,664606,692541,705048,716099,714084,3.11
Barnet,Underhill,366893,364015,365674,527597,502886,500355,36.83
Barnet,West Finchley,397569,413778,438798,594279,594035,588056,34.02
Barnet,West Hendon,299137,317886,326944,515926,524048,549738,68.14
Barnet,Woodhouse,387938,398370,402844,540151,533794,535737,32.99
Bexley,Barnehurst,233174,238008,241779,331141,339505,342033,41.46
Bexley,Belvedere,162959,158254,166201,277596,286519,285322,71.67
Bexley,Blackfen & Lamorbey,255944,263184,266177,383952,384417,396492,48.96
Bexley,Blendon & Penhill,268194,267844,270731,395185,410001,417541,54.23
Bexley,Brampton,261514,261561,261280,416494,425321,429523,64.39
Bexley,Christchurch,241718,245941,253468,368784,384060,384593,51.73
Bexley,Colyers,215125,213334,212409,301404,304111,299122,40.82
Bexley,Cray Meadows,250537,247393,247866,359334,347945,355550,43.44
Bexley,Crayford,179918,185781,192863,277847,291573,298066,54.55
Bexley,Danson Park,234863,243353,252902,369487,375835,390586,54.44
Bexley,East Wickham,227006,232312,241574,377884,371702,372813,54.33
Bexley,Erith,166843,170857,177537,263845,260109,262644,47.94
Bexley,Falconwood & Welling,233949,237048,242369,356614,371298,373421,54.07
Bexley,Lesnes Abbey,213322,226337,225240,368366,372264,372850,65.53
Bexley,Longlands,278761,280315,276590,393267,380512,380926,37.72
Bexley,North End,153331,157182,165544,256605,258396,266967,61.27
Bexley,Northumberland Heath,231051,233615,235977,336222,341128,345003,46.2
Bexley,Sidcup,264139,255435,264264,402327,396776,401244,51.83
Bexley,St Mary's,317479,318185,313957,456979,464694,476333,51.72
Bexley,St Michael's,227099,232429,235796,391340,391337,391862,66.19
Bexley,Thamesmead East,140199,144805,144307,253163,252170,260982,80.85
Brent,Alperton,229975,234479,232869,376249,366799,368782,58.36
Brent,Barnhill,374874,384083,400310,522792,531982,542767,35.59
Brent,Brondesbury Park,700585,728930,751614,954275,983855,972431,29.38
Brent,Dollis Hill,316163,321621,342574,467673,466175,437788,27.79
Brent,Dudden Hill,419793,442609,446770,608035,657049,678520,51.87
Brent,Fryent,317167,313415,316225,456094,455162,448173,41.73
Brent,Harlesden,265849,281508,297216,500043,491915,479807,61.43
Brent,Kensal Green,454694,464966,500134,694767,731396,740169,47.99
Brent,Kenton,391392,395416,407822,560516,592666,611520,49.95
Brent,Kilburn,447923,454354,465836,655238,657689,671277,44.1
Brent,Mapesbury,510422,502382,510637,705147,671703,704667,38
Brent,Northwick Park,388168,392367,380438,547306,564534,634092,66.67
Brent,Preston,290311,303917,307747,433419,450567,440338,43.08
Brent,Queens Park,612872,678094,758534,1018861,1073793,1164186,53.48
Brent,Queensbury,292641,309312,319911,354768,375307,462939,44.71
Brent,Stonebridge,223044,225951,228633,425958,422738,417519,82.62
Brent,Sudbury,249541,260435,259747,356075,372063,392082,50.95
Brent,Tokyngton,261789,271873,276913,425664,433291,444800,60.63
Brent,Welsh Harp,269879,261232,278779,395638,403366,418097,49.97
Brent,Wembley Central,251313,244992,261846,388272,388620,407826,55.75
Brent,Willesden Green,336833,343478,349941,467400,466580,475676,35.93
Bromley,Bickley,452429,462887,494676,677637,699171,702184,41.95
Bromley,Biggin Hill,268405,270335,274138,364705,380298,378844,38.19
Bromley,Bromley Common & Keston,347846,357521,376087,520723,542017,533989,41.99
Bromley,Bromley Town,302601,301044,302983,427974,440874,469534,54.97
Bromley,Chelsfield & Pratts Bottom,352834,348511,360449,501715,526001,547645,51.93
Bromley,Chislehurst,466878,448036,467521,631754,651587,661097,41.4
Bromley,Clock House,280053,290146,309749,461515,464879,471885,52.34
Bromley,Copers Cope,313145,311409,323873,452184,470962,471409,45.55
Bromley,Cray Valley East,195230,200990,213967,317651,317287,324261,51.55
Bromley,Cray Valley West,232516,235796,240804,369532,367636,374436,55.49
Bromley,Crystal Palace,226937,249522,253784,389731,392123,390946,54.05
Bromley,Darwin,437280,431092,443133,559990,555059,575544,29.88
Bromley,Farnborough & Crofton,396682,426744,425562,587124,574719,574945,35.1
Bromley,Hayes & Coney Hall,396363,373460,373204,572225,559757,535412,43.46
Bromley,Kelsey & Eden Park,402277,397245,406310,561678,566205,562920,38.54
Bromley,Mottingham & Chislehurst North,278308,272578,280131,389663,390994,388928,38.84
Bromley,Orpington,281859,295191,311236,398409,398514,418930,34.6
Bromley,Penge & Cator,327440,330805,342224,480059,491080,485497,41.87
Bromley,Petts Wood & Knoll,429988,430175,436025,604651,617620,612963,40.58
Bromley,Plaistow & Sundridge,313663,313864,317211,477600,463880,449758,41.79
Bromley,Shortlands,397726,423571,434724,625390,649245,658022,51.37
Bromley,West Wickham,383327,395946,400384,532812,536165,571350,42.7
Camden,Belsize,883159,942695,975928,1212520,1264367,1211710,24.16
Camden,Bloomsbury,646995,677319,659721,841878,905842,890459,34.98
Camden,Camden Town with Primrose Hill,1111429,1093382,1098736,1444871,1484005,1463971,33.24
Camden,Cantelowes,618869,669486,628156,838347,873942,791730,26.04
Camden,Fortune Green,656356,671238,673692,809020,824255,798947,18.59
Camden,Frognal & Fitzjohns,1514688,1440569,1382061,2091525,2145087,2170118,57.02
Camden,Gospel Oak,712447,717303,746220,970495,992130,886833,18.84
Camden,Hampstead Town,1372218,1563823,1614132,2171559,2157629,1904690,18
Camden,Haverstock,568083,580650,561381,896851,1012519,1058509,88.55
Camden,Highgate,825938,869312,856392,1184205,1234564,1238296,44.59
Camden,Holborn & Covent Garden,752546,848737,890033,943793,1000745,1137344,27.79
Camden,Kentish Town,537473,598165,627309,761538,792568,809862,29.1
Camden,Kilburn,529876,511349,496118,628547,700852,672191,35.49
Camden,King's Cross,359371,382144,394261,700390,738703,908678,130.48
Camden,Regent's Park,1062376,1009948,957632,919030,1090243,1308747,36.66
Camden,St Pancras & Somers Town,398856,446847,658651,962899,955591,906139,37.57
Camden,Swiss Cottage,891187,855076,892801,1104610,1112766,1143499,28.08
Camden,West Hampstead,606764,626196,643563,821207,796373,744398,15.67
Croydon,Addiscombe,216763,217290,224951,360145,359777,364156,61.88
Croydon,Ashburton,285216,297801,301539,436613,440318,433631,43.81
Croydon,Bensham Manor,209214,214836,216687,324729,331855,341135,57.43
Croydon,Broad Green,196454,198807,206215,282499,278777,284086,37.76
Croydon,Coulsdon East,320284,325783,330231,463890,458313,453737,37.4
Croydon,Coulsdon West,386906,373193,378825,534103,537131,538969,42.27
Croydon,Croham,264577,273117,270345,401041,404567,400021,47.97
Croydon,Fairfield,224466,219175,224514,331336,365408,371737,65.57
Croydon,Fieldway,177814,179592,184041,279756,284749,296832,61.29
Croydon,Heathfield,253091,242282,253664,361120,362800,362112,42.75
Croydon,Kenley,302732,323952,333257,460314,469320,481834,44.58
Croydon,New Addington,188411,191321,198069,309696,320728,326282,64.73
Croydon,Norbury,310574,323866,342423,467532,470537,461166,34.68
Croydon,Purley,369426,354839,366861,453460,484796,505750,37.86
Croydon,Sanderstead,363264,364144,383142,549484,544326,539225,40.74
Croydon,Selhurst,181587,186553,190223,299745,311559,307785,61.8
Croydon,Selsdon & Ballards,334219,352437,355104,480189,477938,482071,35.75
Croydon,Shirley,291689,292295,296825,407272,423986,434354,46.33
Croydon,South Norwood,226441,241122,248455,347490,354801,356426,43.46
Croydon,Thornton Heath,203102,206954,219685,328904,337376,341449,55.43
Croydon,Upper Norwood,295473,300188,316889,438515,450183,450261,42.09
Croydon,Waddon,221196,228107,223826,317312,319557,327194,46.18
Croydon,West Thornton,202122,216598,216015,315417,314484,329648,52.6
Croydon,Woodside,196560,201442,211324,344016,350428,351384,66.28
Ealing,Acton Central,458363,494069,486034,644969,624040,599229,23.29
Ealing,Cleveland,436233,483192,492409,707500,739928,724509,47.14
Ealing,Dormers Wells,216404,218956,235988,338101,347183,328033,39
Ealing,Ealing Broadway,555580,542936,597056,747184,797531,797601,33.59
Ealing,Ealing Common,505559,525843,562351,749618,693765,707517,25.81
Ealing,East Acton,362891,364244,389313,504029,545898,585883,50.49
Ealing,Elthorne,347787,353932,355895,551723,556414,534589,50.21
Ealing,Greenford Broadway,228332,231329,237850,334130,331459,331989,39.58
Ealing,Greenford Green,261754,267063,271665,391887,409666,430819,58.58
Ealing,Hanger Hill,471662,466406,487137,750673,711169,689762,41.6
Ealing,Hobbayne,341788,347250,358367,531009,526883,524101,46.25
Ealing,Lady Margaret,249601,259363,262455,404123,408861,417221,58.97
Ealing,North Greenford,283654,295738,302008,387664,406021,408842,35.37
Ealing,Northfield,470382,502888,521113,684594,685053,686267,31.69
Ealing,Northolt Mandeville,234613,239073,239867,381087,378845,384240,60.19
Ealing,Northolt West End,198343,205700,213606,331409,328584,328801,53.93
Ealing,Norwood Green,319815,297963,292043,437138,454065,462232,58.28
Ealing,Perivale,275617,286104,293017,444333,438252,433590,47.97
Ealing,South Acton,438022,440664,450944,599763,608633,634462,40.7
Ealing,Southall Broadway,220548,231844,240117,321136,326661,347760,44.83
Ealing,Southall Green,200941,201876,204301,326896,356653,335314,64.13
Ealing,Southfield,706195,788508,776565,839780,848636,869001,11.9
Ealing,Walpole,525147,528134,531600,761266,785361,764379,43.79
Enfield,Bowes,294424,296031,309608,482682,480104,501749,62.06
Enfield,Bush Hill Park,304706,332728,339993,463780,465934,496814,46.12
Enfield,Chase,272837,279926,293854,432559,435888,430386,46.46
Enfield,Cockfosters,546137,477861,499310,652269,622477,628894,25.95
Enfield,Edmonton Green,189994,192646,202812,298133,296512,292513,44.23
Enfield,Enfield Highway,209247,216430,221037,322840,318887,317217,43.51
